dataset,model_id,item_block,RMSSE,WAPE,MAE,nodes
Favorita,dlinear,item_block_00,0.5779530278911414,0.5894202355739413,12.904607307973993,3
Favorita,dlinear,item_block_01,1.4278061283080974,0.5773363138796305,5.432191213287374,3
Favorita,dlinear,item_block_02,0.7296511412226401,0.6261601688620301,1.4426935693574332,3
Favorita,dlinear,item_block_03,0.6139029160876668,0.32390133333228704,86.17798216633065,3
Favorita,dlinear,item_block_04,0.5262185089179556,0.7798943672085313,3.508938599831213,3
Favorita,dlinear,item_block_05,0.5884571679365503,0.6868232060609998,4.786651662102452,3
Favorita,dlinear,item_block_06,1.3594918699521075,0.601797437711859,11.301414299263525,3
Favorita,dlinear,item_block_07,2.540314475611304,0.7247648057398842,12.32699120486224,3
Favorita,dlinear,item_block_08,1.3126843959689853,0.700865401330283,8.822579968227911,3
Favorita,dlinear,item_block_09,0.8567070556431728,0.5208368803770479,4.141768163474148,3
Favorita,dlinear,item_block_10,1.1043633908402017,0.8199426608175059,4.656885459940269,3
Favorita,dlinear,item_block_11,0.38207155386530317,0.9658255146325604,4.194107915476832,3
Favorita,dlinear,item_block_12,1.046103899506103,0.3325355406739955,28.139154500431484,3
Favorita,dlinear,item_block_13,0.7077311280784693,0.38317033057368055,23.09664689296137,3
Favorita,dlinear,item_block_14,0.43012312698747823,2.0607357785084193,1.180985901721571,3
Favorita,dlinear,item_block_15,0.8557212251902186,0.5866032392382189,1.9308845782406114,3
Favorita,dlinear,item_block_16,0.4268752973483795,5.157375762765275,1.92603396561253,3
Favorita,dlinear,item_block_17,0.18401086456982096,0.4352783449942649,4.094114559668082,3
Favorita,dlinear,item_block_18,0.7065228315593749,0.5095069249423219,23.38390407738862,3
Favorita,dlinear,item_block_19,0.501871304056272,0.4742023017290243,3.7669171438646063,3
Favorita,dlinear,item_block_20,0.3436281982006044,0.7971284299362521,2.8683543107497,3
Favorita,dlinear,item_block_21,0.5129309333203198,0.6033097955354294,1.7795713897104617,3
Favorita,dlinear,item_block_22,0.4742603548038274,0.5870972875682082,5.027795288928602,3
Favorita,dlinear,item_block_23,0.6183370073232477,0.6678276563601725,2.4664373747886175,3
Favorita,dlinear,item_block_24,0.18221490635133702,0.6597267758498468,2.1646462369848183,3
Favorita,dlinear,item_block_25,0.6359052683991906,0.31601226876447036,4.297028091849474,3
Favorita,dlinear,item_block_26,0.6204598450146372,0.7849631752910889,1.6122167769563263,3
Favorita,dlinear,item_block_27,0.5360754404994266,0.5898842202818217,5.9625233512706854,3
Favorita,dlinear,item_block_28,0.7369199347299829,0.4313724340577656,4.022239382935579,3
Favorita,dlinear,item_block_29,0.8745777332288692,0.39660995602715043,4.415138176193944,3
Favorita,global_lightgbm,item_block_00,0.6299487833518371,0.6417582220538122,14.025246427172707,3
Favorita,global_lightgbm,item_block_01,1.4511794332954855,0.6012135186587759,5.609200904293666,3
Favorita,global_lightgbm,item_block_02,1.2459021681219768,1.3018820652049907,2.971247138485076,3
Favorita,global_lightgbm,item_block_03,0.5010084447429746,0.2714474847716588,68.66535829362414,3
Favorita,global_lightgbm,item_block_04,0.6113272470314182,1.2033754491950994,4.427211281799135,3
Favorita,global_lightgbm,item_block_05,0.6902362767660885,0.8803048879566375,5.421662966410319,3
Favorita,global_lightgbm,item_block_06,1.338385069281173,0.6470894091581343,12.23599918698153,3
