dataset,model_id,RMSSE_origin_mean,RMSSE_origin_sd,RMSSE_origin_min,RMSSE_origin_max,WAPE_origin_sd,MAE_origin_sd
Favorita,dlinear,0.7471296977137561,0.08694296211990662,0.6899006576555761,0.8471774480540811,0.051807855611006315,1.423583416340781
Favorita,global_lightgbm,0.9136302339590516,0.11413494201217762,0.8236376981689685,1.0420099091643975,0.014149041664288691,0.6473429127271383
Favorita,gts_native,0.8225310844778067,0.08744956609275223,0.7577313147340083,0.9219993597484151,0.06024647048800623,1.7700722237497424
Favorita,gts_no_graph,0.757367809813316,0.10442162999628123,0.6893939326063685,0.8776017241560664,0.034816606564835366,1.117103922262866
Favorita,gts_placebo,0.7935235540070803,0.1033159813608149,0.7254648175209925,0.9124069044518229,0.04859921055508394,1.4770341155024758
Favorita,itransformer,0.7669449907044242,0.09177484284048902,0.7100119545385177,0.8728168950540652,0.04884717158794873,1.391630306033385
Favorita,mage_native,0.7388600220074032,0.08952549216849856,0.6816686244722842,0.8420323376464518,0.022340237009903213,0.8083439096008384
Favorita,mage_no_graph,0.7346070555147372,0.09136034319085198,0.675110431615738,0.8397995595297366,0.02078953824077963,0.7648170246938946
Favorita,mage_placebo,0.734953890442565,0.09308992575479114,0.6703374924083308,0.84165479814705,0.018417046262945488,0.7165066467953517
Favorita,metadata_embedding_tcn,0.7331870771669108,0.1141327195565188,0.6525078536863494,0.863773156136093,0.03156994454535406,0.9193571876525872
Favorita,mixlinear,0.7397853692807687,0.11030693058657216,0.6676139147504486,0.8667615789886152,0.031134425020831285,0.998198940258454
Favorita,mtgnn_native,0.7294268700304452,0.07854464300689519,0.6729004494102263,0.8191134779507502,0.021559113307889087,0.6304885263060759
Favorita,mtgnn_no_graph,0.7257155719793164,0.08803570511589855,0.6614133354515311,0.8260517484187141,0.042712920188780874,1.1329606528250975
Favorita,mtgnn_placebo,0.7292332336840102,0.08110680035178193,0.6673073981590458,0.821041909180332,0.0125550468627982,0.2598394349744144
Favorita,nlinear,0.7670884369043183,0.0969527729500643,0.7055292531863674,0.8788475962954273,0.06446312170814276,1.738308884417885
Favorita,patchtst,0.7657340096633964,0.09575479556162951,0.7094095697314405,0.8762955559179617,0.05222002000846959,1.4857912945227805
Favorita,seasonal_naive,0.9060784459963286,0.09280050807313531,0.8165322114824081,1.0018225178442666,0.037398671496929964,0.8313949065456309
Favorita,semantic_knn_tcn,0.7395745793155665,0.09986897212197926,0.6625205395831201,0.8524038051610444,0.011899558212490323,0.5487063317942112
Favorita,semantic_placebo_tcn,0.7541004388925465,0.10825959853959614,0.6791565350315144,0.8782193707560401,0.022837805751215738,0.8179067132791016
Favorita,tcn_business,0.7912564265036356,0.12087648909500862,0.7004214014240308,0.9284501575318155,0.0535415677993449,1.5109444056000523
Favorita,tcn_no_graph,0.8161400597643728,0.14397520244844172,0.7126903893218834,0.9805701884907365,0.1424333134321708,3.239897538494823
Favorita,tcn_stat_confidence,0.779483111492793,0.12971768937823994,0.6739938945125781,0.9243184239833879,0.04183458656639799,0.9756198378639719
Favorita,tcn_stat_equal,0.7737763095456599,0.12823308520349075,0.6720608427268912,0.9178230820003401,0.0359020375634229,0.8503166191943805
Favorita,tcn_stat_placebo,0.7979788460127377,0.10657161598890928,0.7191281441878483,0.9192237205780328,0.006864935856169763,0.2599931459018454
Favorita,tcn_target_only,0.7569601755646497,0.10018306490956637,0.695303989256813,0.8725557891031728,0.0009538059627523979,0.3460545663924602
Favorita,timemixerpp,0.7457166362559161,0.09353119188057786,0.6853706609009659,0.853458021483207,0.02542944603058545,0.8661334610658747
M5,dlinear,0.659722330154702,0.10046163888834861,0.5781011723943515,0.7719193982504701,0.1682703985885796,1.0600270045126727
