model_id,Favorita,M5,Store Item
dlinear,0.7471296977137561,0.659722330154702,0.8268827170493812
global_lightgbm,0.9136302339590516,0.7729551276729341,0.8072511284022837
gts_native,0.8225310844778065,0.6840299657452801,1.33193282388276
gts_no_graph,0.757367809813316,0.6298096735908291,1.101790802581665
gts_placebo,0.7935235540070803,0.6603193277553066,1.6877427412087833
itransformer,0.7669449907044241,0.6752661265184684,0.901656016769538
mage_native,0.7388600220074031,0.6383547137489715,0.9274341054214195
mage_no_graph,0.7346070555147372,0.6467682587216917,0.8751587597736971
mage_placebo,0.734953890442565,0.6353115298562128,0.9274904177860566
metadata_embedding_tcn,0.7331870771669107,0.6249412343764229,
mixlinear,0.7397853692807685,0.673370382633507,0.697927957049802
mtgnn_native,0.7294268700304452,0.6206917586580276,0.9786353838951681
mtgnn_no_graph,0.7257155719793162,0.6176338655007242,1.035231325566704
mtgnn_placebo,0.7292332336840102,0.6215846641861764,0.8911812467524938
nlinear,0.7670884369043182,0.6845291424446722,0.7698634749048973
patchtst,0.7657340096633963,0.6400033538241519,0.7467650210486249
seasonal_naive,0.9060784459963286,0.7742189866648258,0.9422227767273249
semantic_knn_tcn,0.7395745793155665,0.6217904506381237,
semantic_placebo_tcn,0.7541004388925464,0.6318599205677303,
tcn_business,0.7912564265036355,0.6360019687373896,0.9066053861013776
tcn_no_graph,0.8161400597643728,0.6332821312998234,0.8348860751885455
tcn_stat_confidence,0.7794831114927931,0.6531083927604737,0.859287379806633
tcn_stat_equal,0.7737763095456598,0.6730990539414098,0.8741120838688448
tcn_stat_placebo,0.7979788460127378,0.6463813931230147,0.8015293427024412
tcn_target_only,0.7569601755646498,0.6618083901280286,1.0257943134467267
timemixerpp,0.745716636255916,0.6312710474455483,0.7207436028574006
