task_id,dataset,forecast_origin,seed,model_id,coverage,offdiag_edges,matrix_sha256
v1_0433_favorita_20170301_mtgnn_native_s13,Favorita,2017-03-01,13,mtgnn_native,1.0,1800,54a70e0e707bf137ae4b3c132961bf2611e54937bd28f86c075ce87e031ac758
v1_0434_favorita_20170301_mtgnn_native_s29,Favorita,2017-03-01,29,mtgnn_native,1.0,1800,c937e8682314ffa7a7b8501fd72d8fb63da4ecfb02db56d41ba5662ce08dafe2
v1_0435_favorita_20170301_mtgnn_native_s47,Favorita,2017-03-01,47,mtgnn_native,1.0,1800,8fc1db48ef03aa769266a616b4f36e8ab39e86f09914b9d3debb6f04c0a7a5e3
v1_0436_favorita_20170329_mtgnn_native_s13,Favorita,2017-03-29,13,mtgnn_native,1.0,1800,40aa24ed3cd047ab1af38a3aa1c8975f1d8496abb598c595ff7d512639473cb7
v1_0437_favorita_20170329_mtgnn_native_s29,Favorita,2017-03-29,29,mtgnn_native,1.0,1796,aa3702336fd51234b597c9ad39938e97296f8ee74d33e7ba4fa87b615b37f46d
v1_0438_favorita_20170329_mtgnn_native_s47,Favorita,2017-03-29,47,mtgnn_native,1.0,1800,219991f61b17fe73caa94197a32cb896d09d61ac4a35fb76bafc19e932b95112
v1_0439_favorita_20170426_mtgnn_native_s13,Favorita,2017-04-26,13,mtgnn_native,1.0,1800,8601044c9456c6cbccf9f4da4d233fb76663e27a48e98430930e828b64494730
v1_0440_favorita_20170426_mtgnn_native_s29,Favorita,2017-04-26,29,mtgnn_native,1.0,1791,70995e873e32395a95406442f900ee22086891881a10b6e75b0ba2e4744f316b
v1_0441_favorita_20170426_mtgnn_native_s47,Favorita,2017-04-26,47,mtgnn_native,1.0,1800,b1bb4c66f3aaba029a9c477e730af59871f820d6a5d0a5cf578cc7563869ff23
v1_0442_store_item_20170522_mtgnn_native_s13,Store Item,2017-05-22,13,mtgnn_native,1.0,1800,4de95744f08d898f306e550ad36e09aa82f7e1ccc9b6a80f358ab881382e6070
v1_0443_store_item_20170522_mtgnn_native_s29,Store Item,2017-05-22,29,mtgnn_native,1.0,1800,17a50bfa58e1b9b9db4763bdda2695f6326f6b29e8adea1d2f1e0ffdac8cc302
v1_0444_store_item_20170522_mtgnn_native_s47,Store Item,2017-05-22,47,mtgnn_native,1.0,1800,8873bcb2cf8681673cf925268549e40855f4826b8608b8b0b7842de796dba002
v1_0445_store_item_20170619_mtgnn_native_s13,Store Item,2017-06-19,13,mtgnn_native,1.0,1800,352b6d465f978b1255504a843421c93526daa9e6899103b5c70c81a932679709
v1_0446_store_item_20170619_mtgnn_native_s29,Store Item,2017-06-19,29,mtgnn_native,1.0,1800,24b7260477feab35f217ca9de8090442cea2986ddcb14dc0cd06bbd7b321b174
v1_0447_store_item_20170619_mtgnn_native_s47,Store Item,2017-06-19,47,mtgnn_native,1.0,1800,5864afdaa2b8c8971d0549e81376a0e64e21a47784d02eddd6e7c0b28cd6428d
v1_0448_store_item_20170717_mtgnn_native_s13,Store Item,2017-07-17,13,mtgnn_native,1.0,1800,79bf544db46d79fcfbd2e1f3b0d33102cb93f67bf2668814846226d086b5e0d9
v1_0449_store_item_20170717_mtgnn_native_s29,Store Item,2017-07-17,29,mtgnn_native,1.0,1800,103b8dd58a976c027b64990ad3e3eb1dc0417211099bb7727c5afb270b811fb9
v1_0450_store_item_20170717_mtgnn_native_s47,Store Item,2017-07-17,47,mtgnn_native,1.0,1800,ab247d0d507b658f6e7fb7a63d477a81fa4b61e550994568e2ce008fa9f916c4
v1_0505_m5_20151207_mage_native_s13,M5,2015-12-07,13,mage_native,1.0,8010,dd0aa2cb959e28e5b2c6b1828e08f5969b6e50b6577eade8df75ab023e6af218
v1_0506_m5_20151207_mage_native_s29,M5,2015-12-07,29,mage_native,1.0,8010,97a5124cb5ceefcbb6886d621c23bb24aecf398898a2085c328109373a8945d8
v1_0507_m5_20151207_mage_native_s47,M5,2015-12-07,47,mage_native,1.0,8010,49eb606b4b1c5701d7c797aebdb9ea6a02ea221e474b7f5900ba07849e6ed184
v1_0508_m5_20160104_mage_native_s13,M5,2016-01-04,13,mage_native,1.0,8010,5aca122edd6ebbee8847200d471c715a0e4edf88f509f7e48fb7a15750807241
v1_0509_m5_20160104_mage_native_s29,M5,2016-01-04,29,mage_native,1.0,8010,2319e3006a7cec1480e40328bb78910e35bdcbcdee94e49b0a252ec0e3f8fc96
v1_0510_m5_20160104_mage_native_s47,M5,2016-01-04,47,mage_native,1.0,8010,c7c62833068bc2bb9a98580d26d9bc95f063038fed59c9fd16378270614e04f5
v1_0511_m5_20160201_mage_native_s13,M5,2016-02-01,13,mage_native,1.0,8010,53c9596ce6bd6fed834ca618a763b1f2a882d1eea046001c4a6d8d59491e19c2
v1_0512_m5_20160201_mage_native_s29,M5,2016-02-01,29,mage_native,1.0,8010,3ac8f6e29912c1590bb4c352fbbb943b162ea51eeed0d1f41aa6399de6e146f5
v1_0513_m5_20160201_mage_native_s47,M5,2016-02-01,47,mage_native,1.0,8010,8e7cae6058455cb9ea112c5e103d1f54382aa4941fec25b4f2b165391244a804
