dataset,model_id,seed,RMSSE,WAPE,MAE,origins
Favorita,dlinear,13,0.7481198606603345,0.41740571011587785,9.218629221101759,3
Favorita,dlinear,29,0.7526182649071812,0.4269294239191095,9.43645645344541,3
Favorita,dlinear,47,0.7406509675737527,0.43053549885319753,9.528054678491342,3
Favorita,global_lightgbm,13,0.9136302339590516,0.44074765795378773,9.728975791563945,3
Favorita,gts_native,13,0.7878724771490758,0.5442215135932246,12.03194220494616,3
Favorita,gts_native,29,0.8199854704511375,0.6643014294869855,14.694313464081683,3
Favorita,gts_native,47,0.8597353058332066,0.61917237491528,13.679891058958441,3
Favorita,gts_no_graph,13,0.753970973475855,0.48010361266170354,10.604357051324818,3
Favorita,gts_no_graph,29,0.7609648199277897,0.46604650511870815,10.292309796037374,3
Favorita,gts_no_graph,47,0.7571676360363032,0.5037792357784349,11.136948562871476,3
Favorita,gts_placebo,13,0.7892153468730241,0.5551078145292098,12.247251733017732,3
Favorita,gts_placebo,29,0.7623766417979109,0.5194628739832079,11.465220056723547,3
Favorita,gts_placebo,47,0.828978673350306,0.6481918179894902,14.352955346930495,3
Favorita,itransformer,13,0.8023555972467106,0.4943863036447383,10.935592681622852,3
Favorita,itransformer,29,0.7545630250053641,0.43393768484873146,9.587238201573884,3
Favorita,itransformer,47,0.7439163498611975,0.4182773261055852,9.24530198794824,3
Favorita,mage_native,13,0.7407313788287097,0.42688444785744656,9.432820633941216,3
Favorita,mage_native,29,0.7392185809261851,0.40658045091084466,8.978605133693732,3
Favorita,mage_native,47,0.7366301062673143,0.4155789216086061,9.173826529425705,3
Favorita,mage_no_graph,13,0.7406041816495376,0.4096337133955356,9.046959247461027,3
Favorita,mage_no_graph,29,0.7301246868339523,0.4051873274387443,8.93815013512215,3
Favorita,mage_no_graph,47,0.7330922980607216,0.4173301481501186,9.223773097943036,3
Favorita,mage_placebo,13,0.7289901011225063,0.41407325988669547,9.142336363904795,3
Favorita,mage_placebo,29,0.7392302463282817,0.4070005230390102,8.988118861516458,3
Favorita,mage_placebo,47,0.7366413238769071,0.4139876637692643,9.14023451786653,3
Favorita,metadata_embedding_tcn,13,0.7453165127609346,0.46108546218058616,10.181945817107483,3
Favorita,metadata_embedding_tcn,29,0.7318226860627016,0.4049302173695542,8.945830670338884,3
Favorita,metadata_embedding_tcn,47,0.7224220326770959,0.3956537812788521,8.730827748780904,3
Favorita,mixlinear,13,0.7417229237715732,0.4161767888235586,9.196876790784495,3
Favorita,mixlinear,29,0.7373620923014452,0.4128751550431229,9.122742795542118,3
Favorita,mixlinear,47,0.7402710917692873,0.41297093461195383,9.124451427898867,3
Favorita,mtgnn_native,13,0.7260727171878195,0.44673357329686086,9.872680631252967,3
Favorita,mtgnn_native,29,0.7291853922910626,0.4242152578784902,9.352277067393095,3
Favorita,mtgnn_native,47,0.7330225006124533,0.4374793512214548,9.641791997788838,3
Favorita,mtgnn_no_graph,13,0.7164157944546732,0.41548689035117364,9.178944491517418,3
Favorita,mtgnn_no_graph,29,0.737116161225272,0.43428902461096014,9.597187840780883,3
Favorita,mtgnn_no_graph,47,0.7236147602580036,0.3928260414330785,8.666961532025033,3
Favorita,mtgnn_placebo,13,0.7265408058222048,0.41968055011598193,9.25193865321202,3
Favorita,mtgnn_placebo,29,0.73021406439634,0.43037456666711593,9.481211945835115,3
Favorita,mtgnn_placebo,47,0.7309448308334859,0.4302260899320916,9.493895926187554,3
Favorita,nlinear,13,0.752123696035342,0.4316491115913171,9.547939330907095,3
Favorita,nlinear,29,0.781027656824311,0.45448522519021767,10.058411844260005,3
Favorita,nlinear,47,0.7681139578533015,0.44650080557157984,9.878232126324265,3
Favorita,patchtst,13,0.7485345031097159,0.43895337941501705,9.694394237891077,3
Favorita,patchtst,29,0.7525207282026084,0.46758210893666446,10.351854574987813,3
Favorita,patchtst,47,0.7961467976778648,0.472884693141588,10.455751111991113,3
Favorita,seasonal_naive,13,0.9060784459963286,0.5014273044391675,11.05542360209914,3
Favorita,semantic_knn_tcn,13,0.7419280482811944,0.40442471923483586,8.91743901740592,3
Favorita,semantic_knn_tcn,29,0.7325122651753898,0.40243927708339977,8.889571464273624,3
Favorita,semantic_knn_tcn,47,0.7442834244901153,0.4019388094936998,8.871304487464604,3
Favorita,semantic_placebo_tcn,13,0.7605845309673526,0.45648767368028004,10.067537326641657,3
Favorita,semantic_placebo_tcn,29,0.7525077466435889,0.431477284926096,9.525850230380499,3
Favorita,semantic_placebo_tcn,47,0.7492090390666978,0.4321461855296491,9.557531578743228,3
Favorita,tcn_business,13,0.7883518271732123,0.5241896899265189,11.556070459092027,3
Favorita,tcn_business,29,0.7852251599855178,0.4908015435409667,10.849650887852269,3
Favorita,tcn_business,47,0.8001922923521766,0.5428086249396965,12.025058800191003,3
Favorita,tcn_no_graph,13,0.7775278968643521,0.557553446210596,12.252336631182127,3
