model_id,Favorita,M5,Store Item
dlinear,0.424956877629395,0.8425472276505761,0.1308770368233101
global_lightgbm,0.44074765795378773,1.2440058636890658,0.12867817407730228
gts_native,0.6092317726651634,0.9294343067294601,0.24534862795158702
gts_no_graph,0.4833097845196155,0.7915956460105488,0.19219342239733275
gts_placebo,0.5742541688339693,0.8443677676760308,0.32419544731467337
itransformer,0.4488671048663517,0.8864697309473748,0.14776405207237941
mage_native,0.4163479401256325,0.801871874850422,0.14971401164154025
mage_no_graph,0.4107170629947995,0.8352691473716836,0.14023075743112903
mage_placebo,0.41168714889832336,0.7954454193533734,0.14971864735767537
metadata_embedding_tcn,0.4205564869429975,0.7711829392907441,
mixlinear,0.4140076261595451,0.9514646298940147,0.10856460284664239
mtgnn_native,0.43614272746560195,0.8619371154416028,0.16773294489054844
mtgnn_no_graph,0.4142006521317374,0.8080169507181838,0.17430326439794902
mtgnn_placebo,0.42676040223839645,0.8337323886092377,0.14983787630693224
nlinear,0.4442117141177049,0.8401453529493638,0.12044946669311399
patchtst,0.45980672716442317,0.8036848592701769,0.11721889144154544
seasonal_naive,0.5014273044391675,0.9350904179150454,0.14679643495536546
semantic_knn_tcn,0.4029342686039785,0.736295379143345,
semantic_placebo_tcn,0.4400370480453417,0.7702446930002117,
tcn_business,0.5192666194690607,0.7804338127025328,0.14962226323817382
tcn_no_graph,0.6007701609248415,0.7555990277175987,0.13504858219675386
tcn_stat_confidence,0.49133655257280995,0.8342352363817079,0.14319459459407868
tcn_stat_equal,0.4867596968181368,0.8815585699917023,0.1456367357963867
tcn_stat_placebo,0.5090122775419589,0.7627519916971247,0.1291562911757964
tcn_target_only,0.42955086876160326,0.828629515280291,0.17469077519152512
timemixerpp,0.4046329488499558,0.8163871979899539,0.1122368471318645
